provider_id,provider_name,Accountability,Inclusivity & diversity,Participatory governance,Transparency,AIPI,coverage,rank
calpoly_iatpp_ai_for_reporters,Cal Poly Institute for Advanced Technology and Public Policy (IATPP),0.0,0.0,0.0,0.0,0.0,0.0,149
pika,Pika Labs,0.0,0.0,0.0,0.0,0.0,0.1,150
bytedance,ByteDance,0.0,0.0,0.0,0.0,0.0,0.1,151
iflytek,iFLYTEK,0.0,0.0,0.0,0.0,0.0,0.1,152
plantix,PEAT GmbH,0.0,0.0,0.0,0.0,0.0,0.0,153
botalite_factalite,Botalite,0.0,0.0,0.0,0.0,0.0,0.0,154
boston_yelp_health_risk,DrivenData + City of Boston + Yelp + Harvard,0.0,0.0,0.0,0.0,0.0,0.0,155
rainforest_connection_arbimon,Rainforest Connection (RFCx),0.0,0.0,0.0,0.0,0.0,0.0,156
reka,Reka AI,0.0,0.0,0.0,0.0,0.0,0.1,157
bloomberg,Bloomberg,0.0,0.0,0.0,0.0,0.0,0.1,158
runway,Runway,0.0,0.0,0.0,0.0,0.0,0.1,159
birdvision,BirdVision GmbH & Co. KG,0.0,0.0,0.0,0.0,0.0,0.0,160
krutrim,Krutrim (Ola),0.0,0.0,0.0,0.0,0.0,0.1,161
