provider_id,provider_name,system_family,indicator_id,score
zhipuai,Zhipu AI,GLM / ChatGLM / GLM-4,TRA5,
zhipuai,Zhipu AI,GLM / ChatGLM / GLM-4,TRA10,1.0
xai,xAI,Grok,TRA1,1.0
xai,xAI,Grok,TRA2,1.0
xai,xAI,Grok,TRA3,0.0
xai,xAI,Grok,TRA5,
midjourney,Midjourney,Midjourney,GOV3,0.0
midjourney,Midjourney,Midjourney,TRA1,
midjourney,Midjourney,Midjourney,TRA2,0.0
midjourney,Midjourney,Midjourney,TRA3,0.0
midjourney,Midjourney,Midjourney,TRA5,
midjourney,Midjourney,Midjourney,TRA10,0.0
nvidia,NVIDIA,Nemotron,GOV3,0.0
nvidia,NVIDIA,Nemotron,TRA1,1.0
nvidia,NVIDIA,Nemotron,TRA2,1.0
nvidia,NVIDIA,Nemotron,TRA3,0.0
nvidia,NVIDIA,Nemotron,TRA5,
nvidia,NVIDIA,Nemotron,TRA10,1.0
amazon,Amazon,Amazon Titan,GOV3,0.0
amazon,Amazon,Amazon Titan,TRA1,1.0
amazon,Amazon,Amazon Titan,TRA2,1.0
amazon,Amazon,Amazon Titan,TRA3,0.0
amazon,Amazon,Amazon Titan,TRA5,
amazon,Amazon,Amazon Titan,TRA10,0.0
ibm,IBM,Granite,GOV3,1.0
ibm,IBM,Granite,TRA1,1.0
ibm,IBM,Granite,TRA2,1.0
ibm,IBM,Granite,TRA3,1.0
ibm,IBM,Granite,TRA5,1.0
ibm,IBM,Granite,TRA10,1.0
salesforce,Salesforce,xGen / CodeGen,GOV3,0.0
salesforce,Salesforce,xGen / CodeGen,TRA1,1.0
salesforce,Salesforce,xGen / CodeGen,TRA2,1.0
salesforce,Salesforce,xGen / CodeGen,TRA3,1.0
salesforce,Salesforce,xGen / CodeGen,TRA5,1.0
salesforce,Salesforce,xGen / CodeGen,TRA10,1.0
snowflake,Snowflake,Arctic,GOV3,0.0
snowflake,Snowflake,Arctic,TRA1,1.0
snowflake,Snowflake,Arctic,TRA2,1.0
snowflake,Snowflake,Arctic,TRA3,1.0
snowflake,Snowflake,Arctic,TRA5,
snowflake,Snowflake,Arctic,TRA10,1.0
bloomberg,Bloomberg,BloombergGPT,GOV3,0.0
bloomberg,Bloomberg,BloombergGPT,TRA1,
bloomberg,Bloomberg,BloombergGPT,TRA2,0.0
bloomberg,Bloomberg,BloombergGPT,TRA3,0.0
bloomberg,Bloomberg,BloombergGPT,TRA5,
bloomberg,Bloomberg,BloombergGPT,TRA10,0.0
hf,Hugging Face,Zephyr,GOV3,1.0
hf,Hugging Face,Zephyr,TRA1,1.0
hf,Hugging Face,Zephyr,TRA2,1.0
hf,Hugging Face,Zephyr,TRA3,1.0
hf,Hugging Face,Zephyr,TRA5,1.0
hf,Hugging Face,Zephyr,TRA10,1.0
bigcode,BigCode (ServiceNow + HF),StarCoder2,GOV3,1.0
bigcode,BigCode (ServiceNow + HF),StarCoder2,TRA1,1.0
bigcode,BigCode (ServiceNow + HF),StarCoder2,TRA2,1.0
bigcode,BigCode (ServiceNow + HF),StarCoder2,TRA3,1.0
bigcode,BigCode (ServiceNow + HF),StarCoder2,TRA5,1.0
bigcode,BigCode (ServiceNow + HF),StarCoder2,TRA10,1.0
mosaicml,MosaicML (Databricks),MPT,GOV3,0.0
mosaicml,MosaicML (Databricks),MPT,TRA1,1.0
mosaicml,MosaicML (Databricks),MPT,TRA2,1.0
mosaicml,MosaicML (Databricks),MPT,TRA3,1.0
mosaicml,MosaicML (Databricks),MPT,TRA5,1.0
mosaicml,MosaicML (Databricks),MPT,TRA10,1.0
reka,Reka AI,Reka Core / Flash / Edge,GOV3,0.0
reka,Reka AI,Reka Core / Flash / Edge,TRA1,
reka,Reka AI,Reka Core / Flash / Edge,TRA2,0.0
reka,Reka AI,Reka Core / Flash / Edge,TRA3,0.0
reka,Reka AI,Reka Core / Flash / Edge,TRA5,
reka,Reka AI,Reka Core / Flash / Edge,TRA10,0.0
adept,Adept AI,ACT-1,GOV3,0.0
adept,Adept AI,ACT-1,TRA1,
adept,Adept AI,ACT-1,TRA2,0.0
adept,Adept AI,ACT-1,TRA3,0.0
adept,Adept AI,ACT-1,TRA5,
adept,Adept AI,ACT-1,TRA10,0.0
characterai,Character.AI,Character models (C1 family),GOV3,0.0
characterai,Character.AI,Character models (C1 family),TRA1,
characterai,Character.AI,Character models (C1 family),TRA2,0.0
characterai,Character.AI,Character models (C1 family),TRA3,0.0
characterai,Character.AI,Character models (C1 family),TRA5,
characterai,Character.AI,Character models (C1 family),TRA10,0.0
pika,Pika Labs,Pika 1.0,GOV3,0.0
pika,Pika Labs,Pika 1.0,TRA1,
pika,Pika Labs,Pika 1.0,TRA2,0.0
pika,Pika Labs,Pika 1.0,TRA3,0.0
pika,Pika Labs,Pika 1.0,TRA5,
pika,Pika Labs,Pika 1.0,TRA10,0.0
runway,Runway,Gen-3 Alpha,GOV3,0.0
runway,Runway,Gen-3 Alpha,TRA1,
runway,Runway,Gen-3 Alpha,TRA2,0.0
runway,Runway,Gen-3 Alpha,TRA3,0.0
runway,Runway,Gen-3 Alpha,TRA5,
runway,Runway,Gen-3 Alpha,TRA10,0.0
luma,Luma AI,Dream Machine,GOV3,0.0
luma,Luma AI,Dream Machine,TRA1,
luma,Luma AI,Dream Machine,TRA2,0.0
luma,Luma AI,Dream Machine,TRA3,0.0
luma,Luma AI,Dream Machine,TRA5,
luma,Luma AI,Dream Machine,TRA10,0.0
elevenlabs,ElevenLabs,Eleven Multilingual v2,GOV3,0.0
elevenlabs,ElevenLabs,Eleven Multilingual v2,TRA1,
elevenlabs,ElevenLabs,Eleven Multilingual v2,TRA2,0.0
elevenlabs,ElevenLabs,Eleven Multilingual v2,TRA3,0.0
elevenlabs,ElevenLabs,Eleven Multilingual v2,TRA5,
elevenlabs,ElevenLabs,Eleven Multilingual v2,TRA10,0.0
suno,Suno,Suno v3 (and Bark open),GOV3,1.0
suno,Suno,Suno v3 (and Bark open),TRA1,1.0
suno,Suno,Suno v3 (and Bark open),TRA2,1.0
suno,Suno,Suno v3 (and Bark open),TRA3,0.0
suno,Suno,Suno v3 (and Bark open),TRA5,1.0
suno,Suno,Suno v3 (and Bark open),TRA10,1.0
jina,Jina AI,Jina Embeddings / CLIP variants,GOV3,1.0
jina,Jina AI,Jina Embeddings / CLIP variants,TRA1,1.0
jina,Jina AI,Jina Embeddings / CLIP variants,TRA2,1.0
jina,Jina AI,Jina Embeddings / CLIP variants,TRA3,1.0
jina,Jina AI,Jina Embeddings / CLIP variants,TRA5,1.0
jina,Jina AI,Jina Embeddings / CLIP variants,TRA10,1.0
voyage,Voyage AI,Voyage Embeddings,GOV3,0.0
voyage,Voyage AI,Voyage Embeddings,TRA1,
voyage,Voyage AI,Voyage Embeddings,TRA2,0.0
voyage,Voyage AI,Voyage Embeddings,TRA3,0.0
voyage,Voyage AI,Voyage Embeddings,TRA5,
voyage,Voyage AI,Voyage Embeddings,TRA10,0.0
nomic,Nomic AI,Nomic Embeddings,GOV3,0.0
nomic,Nomic AI,Nomic Embeddings,TRA1,1.0
nomic,Nomic AI,Nomic Embeddings,TRA2,1.0
nomic,Nomic AI,Nomic Embeddings,TRA3,1.0
nomic,Nomic AI,Nomic Embeddings,TRA5,1.0
nomic,Nomic AI,Nomic Embeddings,TRA10,1.0
nous,Nous Research,Hermes,GOV3,1.0
nous,Nous Research,Hermes,TRA1,1.0
nous,Nous Research,Hermes,TRA2,1.0
nous,Nous Research,Hermes,TRA3,1.0
nous,Nous Research,Hermes,TRA5,1.0
nous,Nous Research,Hermes,TRA10,1.0
